mean_temperature,lowest_temperature,highest_temperature,max_wind,mean_wind,mean_releative_humidity,mean_steam_pressure,mean_local_atomospheric_pressure,highest_thawing_air_pressure,lowest_thawing_air_pressure,mean_thawing_air_pressure,total_sunshine_time,total_sumstroke,mean_vestibule,average_ground_temperature,quantity
-1.1,-5.5,4.9,5.5,2.1,40.1,2.3,1008.1,1021.8,1016.3,1019,9.7,14.1,3.3,-0.1,0
-3,-7.1,1.4,5.5,2.9,25.6,1.2,1014.1,1027.4,1020.1,1025.1,9,15.8,1.9,-0.8,0
-0.4,-4.9,5.2,3.5,1.3,26.9,1.6,1015.5,1028.7,1024,1026.4,7.2,11.22,7.4,-0.1,0
1.8,-1.9,6.8,3,1.5,48.6,3.4,1013.3,1026.5,1021.3,1024.2,4.8,10.08,6.1,1.1,0
0.9,-2.4,5.5,5.8,2.5,41,2.5,1012.8,1025.2,1021.7,1023.6,8.3,13.56,5,1.2,0
-0.9,-4.5,4.4,5.2,2.3,31.5,1.7,1013.4,1026.3,1022.2,1024.4,9.8,15.28,1.6,0.2,0
1.3,-3.9,5.4,5.2,2.2,59,4,1010.6,1024.9,1018.6,1021.4,6.4,9.45,5.8,0.2,1
4.2,-0.3,8.6,5,1.9,81.1,6.6,1010.1,1023.4,1018.6,1020.8,4.8,9.43,7,2.4,1
2.4,-1.1,7.2,3.9,2.1,49.4,3.6,1016.8,1029.3,1023.3,1027.6,7.6,13.09,6.1,2.8,0
1.9,-1.6,7.9,3.8,1.7,40.6,2.7,1014.6,1027.9,1023.1,1025.4,9.2,16.17,2.4,2.7,0
3.1,-3.2,10.4,3.6,1.4,43.1,3,1013.9,1027.2,1022.9,1024.7,10.2,16.36,1.3,2.5,0
4.2,0.6,6.9,1.8,0.9,48.8,4.1,1012.5,1024.7,1021.9,1023.2,0,2.86,8.5,0.4,0
4.6,1.8,7.8,3.7,2,73.3,6.1,1000.1,1021.9,1002.3,1010.7,0,1.71,10,2,1
-0.2,-4.3,3,6.9,3.8,61.9,3.9,1001.1,1020.5,1002.4,1011.8,8.7,17.94,4.4,2.5,1
-0.7,-6.7,5.4,3.3,1.5,34,1.9,1007.5,1020.7,1015.8,1018.3,10.3,19.03,2.4,1.1,0
7.9,-0.1,16.2,3.9,1.5,38.1,4,1003.7,1017.2,1010.6,1014.2,10.1,18.04,4.1,5.3,0
9.8,7.6,11.9,3.5,1.2,89.1,10.7,1003,1017,1009.4,1013.3,0,3.92,10,7.6,1
