mean_temperature,lowest_temperature,highest_temperature,max_wind,mean_wind,mean_releative_humidity,mean_steam_pressure,mean_local_atomospheric_pressure,highest_thawing_air_pressure,lowest_thawing_air_pressure,mean_thawing_air_pressure,total_sunshine_time,total_sumstroke,mean_vestibule,average_ground_temperature,quantity
30.1,27.7,34.1,3.8,2.4,66.3,28,997.5,1008,1005.4,1007,5.2,14.36,6.3,36.1,0
30.1,27.3,33.7,3.4,1.5,68.8,29.1,997.5,1008.5,1005.1,1007,4.4,12.21,5.8,32.7,0
30.9,27.2,35.4,3.7,1.9,69.3,30.3,997.2,1008.3,1004.8,1006.7,9.3,19.29,2.3,36.2,0
29.5,28,35.2,3.6,1.2,77.1,31.6,996.1,1007,1003.7,1005.6,3.4,9.59,5.5,30.1,1
31.3,26.4,36.7,2.9,1.2,52.4,23.1,994.2,1005.2,1001.4,1003.6,12.3,22.33,2.4,32.2,0
31.7,26.2,36.9,2.4,1.2,50.9,23.4,994.3,1004.9,1002.1,1003.8,11,19.68,3.1,34,0
32.6,27.8,38.3,3.6,1.5,50.5,24.2,994.7,1006.1,1001.8,1004.2,12,24.5,2.8,38.8,0
33.6,27.8,39.6,4,1.7,55.5,28,993.4,1004.1,1001,1002.8,12.6,25.69,0.8,40.1,0
33.7,30.3,37.9,3.2,1.6,54.4,28,995.6,1006.2,1003.7,1005,9.8,18.58,4,36.8,0
33.1,30,37.9,4.2,1.9,55.3,27.4,997.4,1008.3,1005.3,1006.8,10.5,21.09,1,39.3,0
31.1,28,34.9,4.6,2.4,60.6,26.9,998.2,1009,1006.4,1007.7,12.1,20.45,3.4,37.8,0
30,27.2,33.9,4.9,2.6,71.8,29.9,997.6,1008.3,1005.7,1007.1,10.1,20.62,6.5,34.9,1
30.5,28.3,35.3,4.4,1.6,71.6,30.9,996.8,1007.4,1004.6,1006.4,7.3,17.86,7.6,31.4,1
30.5,26.8,35.9,3.7,1.5,63.4,27.3,997.2,1008.3,1004.8,1006.7,8.5,15.62,3.6,29.7,0
31,27.6,35.3,4.6,2.1,64.8,28.2,996.8,1007.8,1004.4,1006.3,10.8,20.59,3,35.5,0
28.8,27.1,32.5,4.2,1.5,76.3,30,994.5,1005.4,1002.5,1004.1,2.6,11.11,7.3,32.5,1
30.7,25.7,36.8,3.6,1.4,60.9,26.1,993.6,1004.4,1000.9,1003,11.4,21.85,3.5,32.7,0
31,26.4,36,3.3,1.5,55.8,24.5,995.3,1005.8,1003.1,1004.8,11.5,21.37,2.9,36.3,0
30.6,27.2,35.3,3.7,1.5,61.3,26.3,997.4,1008.9,1005.3,1006.9,8.4,18.23,6.5,34.7,1
30.5,26.7,34.4,3.2,1.4,68.6,29.3,1000.4,1011,1008.4,1009.9,6.3,12.29,7.3,29.9,1
31.7,27.7,37.2,4,1.3,58.3,26.5,1000,1010.9,1008.3,1009.6,9.5,18.37,6.9,34.7,0
31.7,28.3,38,5.8,1.2,59.5,27,997.3,1009.1,1003.8,1006.8,9.5,18.41,6.4,34,1
29.9,24.1,35.6,3,1.7,51,21.3,999.6,1012.9,1005.9,1009.1,11,24.88,3.3,35.5,0
27.2,21.7,33.8,3.5,1.8,39.8,13.8,1002.4,1014.1,1009.4,1012.1,12.4,26.23,0,34.6,0
26.7,21.5,32.1,3.8,1.4,44.6,15.2,1001.1,1013.3,1008.3,1010.8,10.9,23.27,5,34.1,0
28.2,23,34.4,3.3,1.2,50.6,18.7,999.8,1011.1,1007.4,1009.4,7.9,19.79,7.9,34.4,0
29.1,25.1,33.3,5.1,2,55.6,22.1,995.3,1008.8,1001.2,1004.8,6,15.07,8.4,32.7,0
26.6,23.4,31,7.1,2.5,71.4,24.4,993.9,1005.9,1000.3,1003.5,6.8,12.86,6.3,27,1
30.7,23.4,37.6,3.2,1.1,54.1,22.8,994.7,1006.5,1001.8,1004.2,10.5,22.27,4.5,34.6,0
29.4,25.7,32.2,2.8,1.7,59.1,23.9,990.2,1004.3,993.1,999.6,1.7,9.3,9.5,31.5,1
24.4,23.2,26.3,4.2,2.5,86.3,26.2,987.5,1005.3,990.1,997.1,0,5.69,9.6,24.7,1
25.2,22.7,29.3,5.3,2.6,68,21.5,999.2,1011.5,1005.4,1008.9,7.2,16.21,7,25.6,0
23.2,20.3,29,3.8,1.2,70,19.4,1002,1012.6,1010.9,1011.8,5.1,13.54,6.4,24.3,1
22.7,20.2,24.9,2.1,0.8,91,25,1001.6,1012.8,1010,1011.4,0,7.84,8.9,24.4,1
23.7,22.5,26.1,3.7,0.9,92.4,27.1,1001.5,1012.4,1008.9,1011.3,0,4.42,9,24.4,1
25.2,22.7,27.4,4.5,2.4,86,27.3,999.1,1010.3,1007.9,1008.7,0.1,2.75,10,24.8,1
25.3,23.9,28.2,3.7,1.8,80.9,25.9,999.2,1010.3,1007.8,1009,1.9,8.74,9.4,25.8,1
25.6,22.8,30.3,3.7,1.6,67.4,21.4,1000.3,1011.3,1008.6,1010,10.1,22.17,4.5,27.2,1
25.5,20.8,30.9,2.3,1.3,59.4,18.7,1001.5,1012.8,1009.6,1011.2,10.6,21.01,1.5,26.5,0
25.1,20.1,29.6,2.8,1.5,55.8,17.6,999.2,1012.5,1006.5,1009,9.2,20.34,5.5,28.4,0
23.3,21.4,25.8,5.5,1,85.3,24.1,991.9,1006.9,997.6,1001.6,0,3.36,9.8,24.3,1
23.2,20,27.8,5.2,2.2,69.4,19.2,988,1000.9,995.3,997.7,11,21.64,5.1,24,0
24,19.6,28.5,5.7,2.5,63.5,18.3,992.9,1004.4,1000.6,1002.6,11.8,22.46,1.9,24.8,0
24.1,20.9,28.2,5,2,69.9,20.5,994.2,1005.9,1002.1,1003.9,2.2,11.03,7.9,24.7,1
22,19.1,25.5,4.3,2.5,54.6,14.2,995.7,1010.9,1000.9,1005.5,10.9,19.58,4.9,23.3,1
21.7,15.9,27.7,3.9,1.7,48.8,12.2,1003.5,1015,1010.9,1013.4,11.7,22.75,0.3,24.5,0
22.2,15.6,28.9,2.8,1.2,49,12.5,1006.4,1018.9,1014.8,1016.3,9.9,21.4,1.4,26.4,0
22.9,18.6,28.4,2.7,1.6,49.5,13.5,1010.6,1021.9,1018.8,1020.5,10.3,19.84,2.4,26.2,0
21.6,16.8,26.1,2.4,1.5,48.1,12.3,1010.8,1023.1,1018.6,1020.7,8.4,17.85,7.5,24.5,0
22.8,16.8,28.2,3.2,1.4,52,14.3,1008.1,1020.7,1016.1,1018,11.3,20.39,4.1,26.8,0
23.5,20.3,28.3,2.4,1.2,63.5,18.1,1007,1018.6,1015.2,1016.8,5,12.93,7.9,27.2,0
23.5,20.3,26.8,2.6,1.3,66.9,19,1005.6,1017.3,1013.9,1015.4,1.6,9.8,8.3,25.4,1
23.3,21,26,2.4,1,76,21.6,1004.4,1015.4,1013.3,1014.2,0.8,7.44,9.8,24,1
22.2,21,23.9,3.7,1.7,83.6,22.2,1005.4,1016.7,1013.5,1015.3,0,6.44,10,23.2,1
22.3,18.5,27.7,3.8,1.9,64.3,16.7,1007,1018.1,1015.3,1016.9,10.8,20.42,5.3,25.8,1
22,17.7,26.5,3.4,1.2,59.8,15.4,1006.6,1018.5,1015,1016.5,7.9,15.85,8.3,25.5,0
22.1,18.9,26.6,2.9,1,59.1,15.4,1004.1,1016.2,1012.1,1014,2.1,10.66,9.5,24.4,1
19,17.8,20.1,2.9,1.8,82.4,18,1000.7,1013.1,1009.3,1010.6,0,4.08,10,19.8,1
19.4,17.6,21.9,2.3,1.3,85.8,19.2,1000.3,1012,1008.8,1010.2,0.6,6.31,9.3,20.8,1
20.8,17.2,25.5,5.3,1.8,62.3,14.6,1004.6,1016.8,1011.7,1014.5,10.8,19.06,2.1,21.1,1
19.4,15.6,25.3,4.3,1.6,52.9,11.6,1005.8,1017.6,1013.6,1015.8,7.4,14.77,4.4,19.9,0
17.6,14.2,22.1,4.4,2.1,48.3,9.4,1008.7,1020.2,1017.3,1018.8,11,20.96,1.1,19.3,0
17.8,10.8,24.3,2.2,1.1,48,9.3,1009.5,1021.1,1017.3,1019.6,10,20.19,2.1,19.8,0
19.4,16.2,24.8,2.7,1.7,47.9,10.6,1009.8,1021.1,1018.1,1019.8,8.4,17.06,5,21.8,0
18.9,13.2,25,2.4,1.3,47.6,10.2,1008.9,1020.5,1016.9,1018.9,10.3,18.26,0.9,20,0
17.5,14.3,22.2,2.1,1.2,58.1,11.6,1008.5,1020.4,1017.1,1018.6,3.5,8.76,6.1,18.6,0
20.2,14.6,27,2.4,1,55.5,12.6,1003.9,1018,1010.8,1013.9,10.8,19.37,0.4,21.9,0
17.6,14,21.6,5.5,2.3,52.5,10.4,996.1,1010.9,1003.3,1006.1,10.4,16.95,0.6,21.2,0
15.4,13,19.7,6.1,2.9,55.1,9.5,997.9,1013.7,1004.1,1008,7.9,15.1,4.5,19,0
15.9,10.3,22,4.1,1.6,61.4,10.7,1007.1,1019.6,1013.7,1017.3,10.8,18.84,0.5,19.4,0
17.3,11.2,24.2,4,1.3,58,10.9,1011.7,1023.8,1019.6,1021.9,10.6,18.49,0,19.8,0
19.3,13,25.6,2.4,1.3,56.5,12.2,1013.5,1026.1,1022,1023.6,8.9,15.88,6.5,20.7,0
16.9,15.7,19,3.2,1.7,84.1,16.1,1008.1,1022.8,1012.7,1018.2,0,2.74,9.8,17,1
18,16.3,21.7,5.3,2.2,84,17.2,997.1,1013.2,1001,1007,3,6.86,7.5,18.8,1
16.4,12.3,21.1,3.6,1.7,53.5,9.8,1006.6,1019.6,1013.2,1016.7,10.5,15.65,2.9,16.2,0
14.8,9.2,20.9,2.7,1.1,47,7.5,1009.3,1021.1,1017.5,1019.5,10.5,15.28,4.4,14.1,0
15.3,10.7,19.8,2.7,1.1,52.5,8.9,1005.9,1020.2,1012.5,1016.1,2.3,8.89,9,14.3,0
12,7.9,16.7,4.7,2.5,61,8.7,1007.1,1021.1,1011.7,1017.4,6.5,10.3,6.8,13.1,1
9.7,6.1,13.9,5.6,2.1,51,5.9,1012.5,1025.2,1021.2,1023,9.3,15.42,1.4,8.9,0
10.9,5.2,17.4,3.2,1.3,54,6.8,1015.6,1027.3,1024.2,1026.1,10.1,17.67,0,12.7,0
12.5,6.1,19.8,2.9,1,54,7.4,1015.2,1027.6,1023.1,1025.5,10,16.78,0,13.8,0
13.2,6.8,20.3,3.1,1.5,60,8.7,1012.5,1024.9,1021,1022.8,9.9,16.08,3.4,14.9,0
15.2,10.9,21,3.5,1.4,69.9,11.8,1009.9,1022.4,1017.7,1020.1,6.8,11.26,4,15.7,0
14.5,9.9,20.3,3,1.3,55.9,8.8,1006.5,1019.3,1014.5,1016.7,8.2,13.15,5.6,15.4,0
12.4,8.4,18.6,3.6,1.3,53.3,7.2,1005.8,1017.4,1014.7,1016.1,10,16.44,0,14.9,0
12.7,7.5,19,2.7,1.1,59.5,8.4,1010,1023.5,1017.3,1020.3,8.1,13.37,3.1,14.8,0
13.1,7.2,20.4,3.8,1.4,54.3,7.7,1014.9,1026.7,1023.4,1025.2,9.9,16.23,0,14.9,0
13.4,6.9,21.4,3,1.2,53.9,7.7,1015.3,1027.7,1023.7,1025.6,9.7,15.97,1.1,15.1,0
13.4,7.2,21.1,2.9,1.1,49.5,7.1,1013.1,1025.5,1021.5,1023.5,9.6,15.77,2.4,14.8,0
14,8.8,20.6,2.6,1,50,7.7,1009.9,1022,1018.6,1020.1,7.6,12.13,5.3,15.1,0
12.2,9.8,16.9,5,1.1,75.1,10.7,1007.2,1019.3,1015.6,1017.5,5.3,7.68,5.4,13.1,1
12.5,7.6,18.7,3.4,1.3,66,9.2,1010.5,1022.2,1019.3,1020.8,9.6,13.64,0.5,12.4,0
13.8,7,21.2,1.6,0.9,55.5,8.2,1010.1,1023.3,1017.2,1020.4,8.7,13.56,4,12.7,0
12.2,9.9,14.7,5.4,1.6,74.1,10.5,1001.6,1017.2,1008.6,1011.9,2.4,3,7.5,12.8,1
8.7,6.2,11.6,5.8,3.2,49.6,5.5,1004.5,1016.5,1011.4,1014.9,8,11.6,1.6,8.7,0
8.3,5.2,13.5,5.9,1.5,77.1,8.5,999.8,1015.9,1004.6,1010.2,2.8,6.66,7.3,8.8,1
7.2,3.4,11.7,5.3,2,57.3,5.8,1004.3,1019.4,1012.1,1014.8,6.5,9.84,5.9,7.5,0
6.1,0.7,11.6,3.5,1.6,51.3,4.8,1011.2,1023.5,1019.3,1021.8,9.1,14.55,3.3,6.9,0
7.4,3,12.6,4.1,1.6,55.4,5.5,1013.1,1024.8,1022.5,1023.6,9.3,14.51,0.8,8,0
8.4,2.5,15.2,3.6,1.3,53.4,5.6,1015.8,1027.9,1024.4,1026.4,9.2,13.95,0,8.1,0
10.6,4,19,2.5,1.1,54.9,6.7,1017.3,1029.8,1025.7,1027.8,9.2,13.52,0,9.8,0
11.2,5,19.1,4,1.3,56,7.1,1015,1028,1023.2,1025.5,9.1,13.59,0,10.3,0
11.6,5.3,19.4,3.4,1.3,55,7.1,1012.2,1024.6,1020.2,1022.6,9,13.41,2.1,11,0
11.9,6.6,18.3,2.3,1.1,65.5,8.8,1012.9,1024.6,1021.3,1023.3,7.9,11.09,5.3,11.4,0
12.2,8,17.5,2.6,0.9,70.5,9.9,1014.7,1026.8,1023.8,1025.1,4.1,7.85,6.9,12,0
12.8,10.3,15.7,2.8,1.1,79.5,11.7,1014,1026.3,1022.2,1024.4,0.5,4.05,9.9,13.2,1
11.8,10.5,14.7,5,1.8,93.8,13,1002.5,1022.1,1004.7,1012.8,0,1.31,10,13.1,1
12.1,9.5,15.4,5.6,3.1,69,9.6,1006.9,1022.3,1008.9,1017.2,6.5,9.75,7.9,12.5,1
11.9,8.8,17.1,3.3,1.4,69.1,9.3,1013.4,1025,1022.3,1023.8,8.1,11.14,3.1,11.5,0
8.1,5.4,10.9,3.7,1.1,67.6,7.3,1011.9,1024.3,1020.8,1022.4,1.4,3.72,6.4,8.1,0
8.1,3.1,15.1,3.3,1.2,52.3,5.5,1009.6,1021.8,1018.1,1020,8.9,12.12,0,7.1,0
8.8,4.1,15.4,3,1.1,51.6,5.7,1009.6,1021.3,1018.4,1020,8.8,11.7,0.4,7.8,0
9.8,4.8,16.6,3.1,1.1,55.5,6.5,1012.9,1025.1,1021.3,1023.4,8.7,11.61,0.1,8.4,0
9.7,4.7,16.2,2.4,1,55.4,6.4,1014.2,1026.8,1023.2,1024.6,7.8,9.55,4.8,8.6,0
8.8,4.2,14.5,4,1.7,65.1,7.3,1011.6,1023.7,1019.9,1022.1,5.2,8.28,6.5,8.9,0
4.9,0.6,11.4,3.7,1.4,50.8,4.2,1013.1,1026,1022.2,1023.7,5.2,9.17,4.6,3.9,0
6.1,1.9,10.7,3.1,1.1,48.8,4.6,1011.2,1023.6,1020.3,1021.8,2.4,7.49,6.9,5.6,0
6.5,3.3,11.3,4.4,1.4,50.4,4.8,1012.2,1024.9,1021.3,1022.7,5.8,7.83,1.9,5.6,0
6.5,0,12.7,4.2,1.8,39.9,3.7,1014.4,1026.5,1023.6,1025,8.8,11.03,2,5.3,1
5.8,3.1,8.2,4.5,1.2,57.1,5.3,1013.9,1025.5,1023.5,1024.5,0,2.95,8.4,6.3,1
2.3,-1.3,7.1,5.6,2.4,35,2.5,1015.5,1028.6,1024.5,1026.3,8.6,10.82,0.8,2.2,0
1.9,-3.1,7.6,3.7,1.4,29.6,2,1017.9,1030.6,1027.2,1028.7,8.6,10.76,3.1,1.5,0
2.6,0.3,3.8,3.3,1.8,71.1,5.2,1013.2,1027.9,1022.7,1024,1.6,3.38,9,0.6,1
4.8,1.3,9.8,1.9,1,77.8,6.6,1014,1026.1,1023.6,1024.7,6.9,7.9,3.8,3.3,0
6.3,1.6,13.6,1.9,1,70.1,6.5,1014.3,1027.1,1022.8,1024.9,8.6,10.05,0.6,4.7,0
7.1,3.1,12.5,3.7,1.5,65,6.6,1012.3,1024.7,1020.7,1022.8,1.1,4.62,6.1,5.2,0
5,2.1,11.1,3.7,1.6,27.1,2.3,1014.3,1026.6,1023,1025,6.8,9.68,3.8,3.2,0
3.5,0.6,6.7,3.3,1.3,41.4,3.3,1016.1,1027.5,1025.6,1026.8,0.2,2.81,5.8,1.3,0
2.7,-1.5,8,3.3,1.4,46.1,3.3,1016.5,1028.8,1025.5,1027.3,8.6,10.22,1,2.1,0
5.5,0.8,12.4,2.5,1,42.3,3.8,1016.6,1028.7,1026.2,1027.3,7.8,9.88,3.6,3.2,0
8.2,2.8,11.8,2.2,1.3,50.1,5.5,1013.1,1027.2,1020.7,1023.7,2.7,5.59,6.5,5.1,0
11.5,9.3,13.5,3.2,1.4,87.4,11.9,1005.9,1020.7,1013.7,1016.2,0,0.65,9.9,9.4,1
6.7,-0.3,11.8,5.6,2.7,74.9,7.9,1009.1,1027.3,1015,1019.6,2.1,3.33,7.8,7.5,1
0,-4.3,3.4,4,1.5,39.5,2.4,1016.5,1030.5,1024,1027.4,3.1,6.33,6.4,0.8,0
2.4,-1,6.8,5.7,2.3,50.5,3.7,1012.9,1026.3,1021,1023.7,6.2,7.77,8.1,2.6,0
-7.3,-9.6,-1.1,5.9,3.8,37.1,1.3,1021.6,1035.4,1026.2,1032.9,8.7,10.91,1.1,-3.3,0
-8.3,-11.4,-4.4,5.5,2.6,37.1,1.2,1022.9,1036.5,1032.4,1034.2,8.7,10.75,1.4,-5.2,0
-7.2,-11.8,-2.1,3.4,1.5,27,1,1025.7,1038.7,1035.3,1037,7.8,10.57,2,-4.9,0
-2.5,-8.1,4.6,2.9,0.9,33.3,1.7,1023.5,1036.9,1032.1,1034.5,8,9.46,3,-2.3,0
0.2,-2.4,2.9,3.9,1.2,44.8,2.8,1017.8,1032.8,1026,1028.7,0.1,3.59,7.9,-0.6,0
-1.9,-5,2.4,4,2.2,39,2,1018.8,1031.5,1027.7,1029.8,8.7,10.42,0,-1,0
-2.2,-5.9,2.1,5.8,2,57.4,3,1018.6,1033.9,1026.6,1029.6,4.8,5.83,5,-0.6,1
-4.4,-7.8,0.6,3.5,1.7,44.3,1.9,1024.2,1036.8,1033.7,1035.4,8.7,10.4,0,-2.3,0
-2.4,-7.8,3.2,2.1,1,46.8,2.3,1021.4,1036.5,1027.7,1032.5,8,8.83,3.6,-1.9,0
0,-2.6,2.1,1.7,0.9,63.8,3.9,1010,1027.8,1016.9,1020.9,1.1,3.19,9.3,-0.3,1
1.6,-1.5,5.9,4.3,1.8,60.1,4,1007.8,1021.2,1015.9,1018.5,8.3,8.92,1.3,0.7,1
2.6,-2.8,7.4,4.1,1.4,56.3,4.1,1009.4,1021.8,1018.8,1020.1,7.2,7.67,3,-0.4,0
4,1.3,9.5,3.3,1.4,53.4,4.2,1010.4,1022.5,1019.1,1021,7.8,9.29,2.9,2.6,0
3.4,-1.1,10.4,2.4,0.9,45.5,3.4,1012.8,1025,1022,1023.5,7.5,8.78,3.1,2.1,0
5.6,0.4,9.8,2.6,1.1,40.1,3.6,1012.5,1025.2,1021.3,1023.1,3.2,5.82,8.5,2.1,0
6.9,2.9,12.4,3.6,1.5,48.9,4.7,1012.5,1024.7,1021.6,1023,7.8,8.93,4.3,5,0
2.4,-3.4,7.5,5.7,2.9,43,3.2,1014.1,1028.5,1021.8,1024.9,8.3,9.58,2.6,3.3,0
-2.3,-5.9,3.1,3.6,1.6,35.9,1.8,1017,1030.7,1026.2,1028,8.8,10.5,0.3,-0.2,0
0.6,-4,5.2,2.7,1.2,53.4,3.6,1013.3,1027.1,1022.2,1024.2,3.1,5.67,7.4,-0.3,0
-1.5,-7.1,3,4.5,2.8,40.8,2.4,1014.9,1028.9,1022.4,1025.9,8.3,9.97,4.4,1.4,0
-10.1,-12.5,-6.5,5.8,3.5,28.3,0.8,1019.5,1032.5,1028.8,1030.8,8.7,10.44,0.5,-4,0
-10.5,-14.4,-6.6,4.4,2.5,33,0.9,1021.6,1034.7,1030.7,1033,8.7,10.36,0.6,-5.4,0
-7.6,-10.5,-3,5.5,2.9,29,1,1024.3,1037.4,1033.2,1035.6,8.7,10.57,0,-4.3,0
-6.8,-11.3,-0.9,3.1,1.2,35.9,1.3,1026.8,1039.5,1036,1038.1,8.7,10.48,0.8,-4.3,0
-5.4,-10.5,-0.5,3.4,1.2,39.6,1.6,1026.2,1039.7,1035.3,1037.5,8.3,9.16,1.6,-4.5,0
